"Name","Count","Chance","Weight","Comment"
,,,,
"3 to 6 time","--","--","--",
"minecraft:iron_ingot","1..5","12.5%","10/80",
"minecraft:gold_ingot","1..3","6.2%","5/80",
"minecraft:redstone","4..9","6.2%","5/80",
"minecraft:dye","4..9","6.2%","5/80",
"minecraft:diamond","1..2","3.8%","3/80",
"minecraft:coal","3..8","12.5%","10/80",
"minecraft:bread","1..3","18.8%","15/80",
"minecraft:iron_pickaxe","1","1.2%","1/80",
"minecraft:rail","4..8","1.2%","1/80",
"minecraft:melon_seeds","2..4","12.5%","10/80",
"minecraft:pumpkin_seeds","2..4","12.5%","10/80",
"minecraft:saddle","1","3.8%","3/80",
"minecraft:iron_horse_armor","1","1.2%","1/80",
"minecraft:enchanted_book","1","1.2%","1/80","enchantments: {level: 30, treasure: true}"
