"Name","Count","Chance","Weight","Comment"
,,,,
"8 time","--","--","--",
"minecraft:saddle","1","9.3%","10/108",
"minecraft:iron_ingot","1..4","9.3%","10/108",
"minecraft:bread","1","9.3%","10/108",
"minecraft:wheat","1..4","9.3%","10/108",
"minecraft:gunpowder","1..4","9.3%","10/108",
"minecraft:string","1..4","9.3%","10/108",
"minecraft:bucket","1","9.3%","10/108",
"minecraft:golden_apple","1","0.93%","1/108",
"minecraft:redstone","1..4","9.3%","10/108",
"minecraft:record_13","1","3.7%","4/108",
"minecraft:record_cat","1","3.7%","4/108",
"minecraft:name_tag","1","9.3%","10/108",
"minecraft:golden_horse_armor","1","1.9%","2/108",
"minecraft:iron_horse_armor","1","4.6%","5/108",
"minecraft:diamond_horse_armor","1","0.93%","1/108",
"minecraft:enchanted_book","1","0.93%","1/108","enchantments: {level: 30, treasure: true}"
